,State,White_July20,Black_July20,Asian_July20,AIAN_July20,NHPI_July20,Hispanic_July20
0,Arizona,24972.0,3320.0,1134.0,7889.0,1167.0,33964.0
1,California,44202.0,13500.0,16366.0,3809.0,9625.0,124759.0
2,Colorado,4640.0,854.0,382.0,72.0,52.0,5857.0
3,Delaware,6985.0,3443.0,190.0,0.0,0.0,3550.0
4,Florida,133866.0,52516.0,0.0,0.0,0.0,88237.0
5,Georgia,8158.0,6913.0,0.0,23.0,1075.0,14475.0
6,Idaho,0.0,0.0,0.0,0.0,0.0,505.0
7,Illinois,29773.0,13731.0,3203.0,135.0,263.0,28987.0
8,Indiana,26391.0,6621.0,767.0,0.0,0.0,6405.0
9,Iowa,3142.0,1147.0,428.0,7.0,93.0,612.0
10,Kansas,7137.0,1036.0,538.0,27.0,5.0,3415.0
11,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0
12,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0
13,Lousiana,0.0,0.0,0.0,0.0,0.0,0.0
14,Maine,115.0,310.0,5.0,2.0,3.0,46.0
15,Maryland,5412.0,12376.0,474.0,0.0,0.0,15155.0
16,Michigan,22286.734,17818.0,1241.0,177.0,0.0,0.0
17,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0
18,Mississippi,12744.0,19882.0,139.0,1010.0,0.0,1777.0
19,Missouri,3171.0,4135.0,460.0,93.0,676.0,4665.0
20,Nebraska,3622.0,989.0,1449.0,25.0,0.0,4609.0
21,Nevada,6779.0,2136.0,1788.0,97.0,70.0,9535.0
22,NewJersey,6090.0,420.0,221.0,6.0,13.0,1015.0
23,NewYork,48881.0,75521.0,28674.0,8.0,0.0,70854.0
24,NorthCarolina,28215.0,11919.0,1144.0,712.0,180.0,27951.0
25,Ohio,36103.0,19928.0,2108.0,93.0,144.0,5157.0
26,Oklahoma,1962.0,406.0,1029.0,161.0,13.0,1519.0
27,Oregon,4595.0,547.0,490.0,104.0,168.0,3680.0
28,Pennsylvania,3727.0,1854.0,233.0,0.0,0.0,0.0
29,Tennessee,8784.0,4286.0,498.0,0.0,16.0,6004.0
30,Texas,20973.0,13659.0,3002.0,100.0,1662.0,33297.0
31,Utah,10543.0,565.0,524.0,134.0,832.0,7697.0
32,Virginia,16488.0,12107.0,2421.0,95.0,0.0,25052.0
33,Washington,8124.0,1902.0,1539.0,1023.0,1912.0,8469.0
34,WestVirginia,4022.0,370.0,0.0,0.0,0.0,0.0
35,Wisconsin,3555.0,4326.0,616.0,44.0,17.0,4853.0
36,nan,106.0,35.0,0.0,0.0,0.0,25.0
